# x y xerr yerr
2220 5.10841e-09 100 1.26857e-10
1640 6.4432e-09  100 1.9968e-10
2620 5.48159e-09 100 1.53476e-10
2040 5.52266e-09 100 2.05375e-10
3020 5.40082e-09 100 7.15154e-11
2440 5.49433e-09 100 9.09263e-11
3420 1.03317e-08 100 4.91728e-11
2840 5.42984e-09 100 4.85948e-11
3820 1.38353e-08 100 1.62813e-11
3240 8.81042e-09 100 1.75733e-11
2320 4.61908e-09 100 9.78945e-11
1740 5.40308e-09 100 1.52302e-10
2720 4.7731e-09  100 1.15871e-10
2140 4.86239e-09 100 1.52039e-10
3120 5.99618e-09 100 5.51169e-11
2540 4.80081e-09 100 6.40633e-11
3520 1.04898e-08 100 3.44257e-11
2940 5.62521e-09 100 3.40565e-11
3920 1.51165e-08 100 1.13141e-11
3340 8.98008e-09 100 1.18655e-11
2420 3.79746e-09 100 6.61106e-11
1840 6.17562e-09 100 1.1307e-10
2820 4.81726e-09 100 7.2239e-11
2240 4.53551e-09 100 8.94203e-11
3220 8.08636e-09 100 3.61863e-11
2640 4.72982e-09 100 3.7192e-11
3620 1.19958e-08 100 1.93918e-11
3040 7.04468e-09 100 1.98286e-11
4020 1.88107e-08 100 6.53209e-12
3440 1.04593e-08 100 6.7209e-12
2520 4.98675e-09 100 5.72616e-11
1940 5.45712e-09 100 8.02159e-11
2920 5.28486e-09 100 4.28314e-11
2340 5.13272e-09 100 5.4095e-11
3320 9.87131e-09 100 2.42294e-11
2740 5.23765e-09 100 2.39429e-11
3720 1.15515e-08 100 9.03614e-12
3140 8.43328e-09 100 1.01122e-11
4120 2.3376e-08  100 3.74845e-12
3540 1.05838e-08 100 3.26317e-12
