# gsf 76Ga beta decay into 76Ge NSCL/MSU 2014
# Normalization: von Egidy & Bucurescu, PRC 2009
# Ch 	 Eg(MeV) 	 f(1/MeV) 	 df(1/MeV
0	-0.758500	0.000000E+00	0.000000E+00
1	-0.646500	0.000000E+00	0.000000E+00
2	-0.534500	0.000000E+00	0.000000E+00
3	-0.422500	0.000000E+00	0.000000E+00
4	-0.310500	0.000000E+00	0.000000E+00
5	-0.198500	0.000000E+00	0.000000E+00
6	-0.086500	0.000000E+00	0.000000E+00
7	0.025500	0.000000E+00	0.000000E+00
8	0.137500	0.000000E+00	0.000000E+00
9	0.249500	0.000000E+00	0.000000E+00
10	0.361500	0.000000E+00	0.000000E+00
11	0.473500	0.000000E+00	0.000000E+00
12	0.585500	0.000000E+00	0.000000E+00
13	0.697500	0.000000E+00	0.000000E+00
14	0.809500	0.000000E+00	0.000000E+00
15	0.921500	0.000000E+00	0.000000E+00
16	1.033500	0.000000E+00	0.000000E+00
17	1.145500	0.000000E+00	0.000000E+00
18	1.257500	0.000000E+00	0.000000E+00
19	1.369500	7.346465E-09	3.368225E-09
20	1.481500	9.306594E-09	2.817625E-09
21	1.593500	8.092479E-09	2.689606E-09
22	1.705500	8.021976E-09	2.266265E-09
23	1.817500	8.218320E-09	2.161259E-09
24	1.929500	6.099361E-09	2.010614E-09
25	2.041500	4.926330E-09	2.043126E-09
26	2.153500	5.993813E-09	1.817575E-09
27	2.265500	4.648606E-09	1.934185E-09
28	2.377500	3.469629E-09	2.288976E-09
29	2.489500	3.581307E-09	2.072514E-09
30	2.601500	3.652717E-09	1.687239E-09
31	2.713500	4.344162E-09	1.709263E-09
32	2.825500	6.824204E-09	1.582129E-09
33	2.937500	5.040436E-09	1.288970E-09
34	3.049500	4.845318E-09	1.265991E-09
35	3.161500	5.828502E-09	1.157775E-09
36	3.273500	7.602175E-09	1.187951E-09
37	3.385500	9.910105E-09	1.244797E-09
38	3.497500	9.063571E-09	9.882910E-10
39	3.609500	7.544792E-09	7.745127E-10
40	3.721500	7.095431E-09	8.108579E-10
41	3.833500	6.682403E-09	8.538164E-10
42	3.945500	8.321170E-09	1.076252E-09
43	4.057500	9.236734E-09	1.436242E-09
44	4.169500	6.740963E-09	1.287363E-09
45	4.281500	5.788506E-09	1.254774E-09
46	4.393500	6.342173E-09	1.412586E-09
47	4.505500	6.442507E-09	1.546356E-09
48	4.617500	6.550491E-09	1.663830E-09
49	4.729500	6.995530E-09	1.988785E-09
50	4.841500	9.611901E-09	3.323372E-09
51	4.953500	9.130227E-09	3.392725E-09
52	5.065500	1.105296E-08	4.599657E-09
53	5.177500	1.124259E-08	4.914788E-09
54	5.289500	1.289492E-08	5.836939E-09
55	5.401500	1.303906E-08	6.132481E-09
56	5.513500	1.334665E-08	6.796097E-09
57	5.625500	1.375710E-08	7.292228E-09
58	5.737500	1.660097E-08	9.618994E-09
59	5.849500	1.425821E-08	9.941126E-09
