gsf 76Ga beta decay into 76Ge NSCL/MSU 2014
Normalization: Goriely, Hilaire & Koning, PRC (2008)
Ch 	 Eg(MeV) 	 f(1/MeV) 	 df(1/MeV
0	-0.758500	0.000000E+00	0.000000E+00
1	-0.646500	0.000000E+00	0.000000E+00
2	-0.534500	0.000000E+00	0.000000E+00
3	-0.422500	0.000000E+00	0.000000E+00
4	-0.310500	0.000000E+00	0.000000E+00
5	-0.198500	0.000000E+00	0.000000E+00
6	-0.086500	0.000000E+00	0.000000E+00
7	0.025500	0.000000E+00	0.000000E+00
8	0.137500	0.000000E+00	0.000000E+00
9	0.249500	0.000000E+00	0.000000E+00
10	0.361500	0.000000E+00	0.000000E+00
11	0.473500	0.000000E+00	0.000000E+00
12	0.585500	0.000000E+00	0.000000E+00
13	0.697500	0.000000E+00	0.000000E+00
14	0.809500	0.000000E+00	0.000000E+00
15	0.921500	0.000000E+00	0.000000E+00
16	1.033500	0.000000E+00	0.000000E+00
17	1.145500	0.000000E+00	0.000000E+00
18	1.257500	0.000000E+00	0.000000E+00
19	1.369500	8.415984E-09	3.858580E-09
20	1.481500	1.052490E-08	3.186475E-09
21	1.593500	9.034623E-09	3.002736E-09
22	1.705500	8.841194E-09	2.497700E-09
23	1.817500	8.941565E-09	2.351459E-09
24	1.929500	6.551124E-09	2.159535E-09
25	2.041500	5.223433E-09	2.166345E-09
26	2.153500	6.273887E-09	1.902506E-09
27	2.265500	4.803494E-09	1.998631E-09
28	2.377500	3.539310E-09	2.334945E-09
29	2.489500	3.606435E-09	2.087055E-09
30	2.601500	3.631229E-09	1.677314E-09
31	2.713500	4.263287E-09	1.677442E-09
32	2.825500	6.611373E-09	1.532786E-09
33	2.937500	4.820685E-09	1.232774E-09
34	3.049500	4.574714E-09	1.195288E-09
35	3.161500	5.432498E-09	1.079113E-09
36	3.273500	6.994901E-09	1.093055E-09
37	3.385500	9.001667E-09	1.130690E-09
38	3.497500	8.127277E-09	8.861976E-10
39	3.609500	6.678732E-09	6.856071E-10
40	3.721500	6.200497E-09	7.085859E-10
41	3.833500	5.764762E-09	7.365686E-10
42	3.945500	7.086540E-09	9.165661E-10
43	4.057500	7.765497E-09	1.207475E-09
44	4.169500	5.594660E-09	1.068447E-09
45	4.281500	4.742630E-09	1.028060E-09
46	4.393500	5.129700E-09	1.142533E-09
47	4.505500	5.144104E-09	1.234709E-09
48	4.617500	5.163328E-09	1.311489E-09
49	4.729500	5.443491E-09	1.547550E-09
50	4.841500	7.383584E-09	2.552918E-09
51	4.953500	6.923736E-09	2.572809E-09
52	5.065500	8.274437E-09	3.443383E-09
53	5.177500	8.308594E-09	3.632167E-09
54	5.289500	9.407637E-09	4.258407E-09
55	5.401500	9.390943E-09	4.416713E-09
56	5.513500	9.489347E-09	4.831963E-09
57	5.625500	9.655881E-09	5.118294E-09
58	5.737500	1.150269E-08	6.664931E-09
59	5.849500	9.752860E-09	6.799901E-09
