gsf 76Ga beta decay into 76Ge NSCL/MSU 2014
Lower limit 
Ch 	 Eg(MeV) 	 f(1/MeV) 
0	-0.758500	0.000000E+00
1	-0.646500	0.000000E+00
2	-0.534500	0.000000E+00
3	-0.422500	0.000000E+00
4	-0.310500	0.000000E+00
5	-0.198500	0.000000E+00
6	-0.086500	0.000000E+00
7	0.025500	0.000000E+00
8	0.137500	0.000000E+00
9	0.249500	0.000000E+00
10	0.361500	0.000000E+00
11	0.473500	0.000000E+00
12	0.585500	0.000000E+00
13	0.697500	0.000000E+00
14	0.809500	0.000000E+00
15	0.921500	0.000000E+00
16	1.033500	0.000000E+00
17	1.145500	0.000000E+00
18	1.257500	4.943216E-09
19	1.369500	6.410101E-09
20	1.481500	8.016379E-09
21	1.593500	6.881293E-09
22	1.705500	6.733966E-09
23	1.817500	6.810415E-09
24	1.929500	4.989716E-09
25	2.041500	3.978470E-09
26	2.153500	4.778557E-09
27	2.265500	3.658620E-09
28	2.377500	2.695744E-09
29	2.489500	2.746870E-09
30	2.601500	2.765755E-09
31	2.713500	3.247167E-09
32	2.825500	5.035605E-09
33	2.937500	3.671713E-09
34	3.049500	3.484368E-09
35	3.161500	4.137706E-09
36	3.273500	5.327723E-09
37	3.385500	6.856192E-09
38	3.497500	6.190206E-09
39	3.609500	5.086910E-09
40	3.721500	4.722659E-09
41	3.833500	4.390778E-09
42	3.945500	5.397520E-09
43	4.057500	5.914653E-09
44	4.169500	4.261218E-09
45	4.281500	3.612263E-09
46	4.393500	3.907077E-09
47	4.505500	3.918048E-09
48	4.617500	3.932691E-09
49	4.729500	4.146079E-09
50	4.841500	5.623766E-09
51	4.953500	5.273519E-09
52	5.065500	6.302292E-09
53	5.177500	6.328307E-09
54	5.289500	7.165403E-09
55	5.401500	7.152688E-09
56	5.513500	7.227637E-09
57	5.625500	7.354479E-09
58	5.737500	8.761116E-09
59	5.849500	7.428344E-09
