gsf 76Ga beta decay into 76Ge NSCL/MSU 2014
Upper limit 
Ch 	 Eg(MeV) 	 f(1/MeV) 
0	-0.758500	0.000000E+00
1	-0.646500	0.000000E+00
2	-0.534500	0.000000E+00
3	-0.422500	0.000000E+00
4	-0.310500	0.000000E+00
5	-0.198500	0.000000E+00
6	-0.086500	0.000000E+00
7	0.025500	0.000000E+00
8	0.137500	0.000000E+00
9	0.249500	0.000000E+00
10	0.361500	0.000000E+00
11	0.473500	0.000000E+00
12	0.585500	0.000000E+00
13	0.697500	0.000000E+00
14	0.809500	0.000000E+00
15	0.921500	0.000000E+00
16	1.033500	0.000000E+00
17	1.145500	0.000000E+00
18	1.257500	8.593002E-09
19	1.369500	1.128754E-08
20	1.481500	1.429919E-08
21	1.593500	1.243376E-08
22	1.705500	1.232543E-08
23	1.817500	1.262711E-08
24	1.929500	9.371413E-09
25	2.041500	7.569100E-09
26	2.153500	9.209243E-09
27	2.265500	7.142389E-09
28	2.377500	5.330940E-09
29	2.489500	5.502528E-09
30	2.601500	5.612248E-09
31	2.713500	6.674623E-09
32	2.825500	1.048510E-08
33	2.937500	7.744419E-09
34	3.049500	7.444628E-09
35	3.161500	8.955249E-09
36	3.273500	1.168042E-08
37	3.385500	1.522646E-08
38	3.497500	1.392580E-08
39	3.609500	1.159226E-08
40	3.721500	1.090183E-08
41	3.833500	1.026723E-08
42	3.945500	1.278513E-08
43	4.057500	1.419186E-08
44	4.169500	1.035721E-08
45	4.281500	8.893797E-09
46	4.393500	9.744485E-09
47	4.505500	9.898642E-09
48	4.617500	1.006455E-08
49	4.729500	1.074834E-08
50	4.841500	1.476828E-08
51	4.953500	1.402821E-08
52	5.065500	1.698241E-08
53	5.177500	1.727378E-08
54	5.289500	1.981250E-08
55	5.401500	2.003397E-08
56	5.513500	2.050657E-08
57	5.625500	2.113721E-08
58	5.737500	2.550669E-08
59	5.849500	2.190714E-08
