# nld 76Ga beta decay into 76Ge NSCL/MSU 2014
# Normalization: von Egidy & Bucurescu, PRC 2009
# Ch 	 Ex(MeV) 	 Rho(1/MeV) 	 dRho(1/MeV
0	-0.758500	0.000000E+00	0.000000E+00
1	-0.646500	0.000000E+00	0.000000E+00
2	-0.534500	0.000000E+00	0.000000E+00
3	-0.422500	0.000000E+00	0.000000E+00
4	-0.310500	0.000000E+00	0.000000E+00
5	-0.198500	1.315489E-01	1.656557E-02
6	-0.086500	2.146604E+00	1.192027E-01
7	0.025500	4.045284E+00	1.473827E-01
8	0.137500	9.132737E-01	1.262542E-01
9	0.249500	1.268058E+00	1.920488E-01
10	0.361500	1.739166E+00	3.069933E-01
11	0.473500	3.438280E+00	5.955450E-01
12	0.585500	8.741789E+00	1.566153E+00
13	0.697500	4.044070E+00	8.137968E-01
14	0.809500	1.976022E+00	5.085779E-01
15	0.921500	2.814004E+00	7.672712E-01
16	1.033500	4.094897E+00	1.071188E+00
17	1.145500	7.492992E+00	1.903104E+00
18	1.257500	5.760904E+00	1.520151E+00
19	1.369500	3.515787E+00	9.056117E-01
20	1.481500	4.278087E+00	1.176125E+00
21	1.593500	5.448366E+00	1.640418E+00
22	1.705500	5.159194E+00	1.339702E+00
23	1.817500	4.591844E+00	1.230808E+00
24	1.929500	4.143381E+00	1.813070E+00
25	2.041500	5.112126E+00	1.913969E+00
26	2.153500	7.143605E+00	2.303532E+00
27	2.265500	7.039157E+00	3.122466E+00
28	2.377500	8.943805E+00	3.095364E+00
29	2.489500	1.080703E+01	3.803469E+00
30	2.601500	1.262696E+01	3.981612E+00
31	2.713500	2.340795E+01	7.757764E+00
32	2.825500	3.458883E+01	1.205496E+01
33	2.937500	4.554840E+01	1.687974E+01
34	3.049500	4.648504E+01	1.521892E+01
35	3.161500	5.499467E+01	1.885567E+01
36	3.273500	5.024806E+01	1.531799E+01
37	3.385500	3.315976E+01	2.084072E+01
