nld 76Ga beta decay into 76Ge NSCL/MSU 2014
Normalization: Goriely, Hilaire & Koning, PRC (2008)
Ch 	 Ex(MeV) 	 Rho(1/MeV) 	 dRho(1/MeV
0	-0.758500	0.000000E+00	0.000000E+00
1	-0.646500	0.000000E+00	0.000000E+00
2	-0.534500	0.000000E+00	0.000000E+00
3	-0.422500	0.000000E+00	0.000000E+00
4	-0.310500	0.000000E+00	0.000000E+00
5	-0.198500	1.366686E-01	1.721027E-02
6	-0.086500	2.221915E+00	1.233848E-01
7	0.025500	4.171754E+00	1.519904E-01
8	0.137500	9.383500E-01	1.297208E-01
9	0.249500	1.298068E+00	1.965937E-01
10	0.361500	1.773753E+00	3.130985E-01
11	0.473500	3.493715E+00	6.051469E-01
12	0.585500	8.849948E+00	1.585530E+00
13	0.697500	4.078995E+00	8.208249E-01
14	0.809500	1.985731E+00	5.110767E-01
15	0.921500	2.817393E+00	7.681954E-01
16	1.033500	4.084697E+00	1.068520E+00
17	1.145500	7.446742E+00	1.891357E+00
18	1.257500	5.704214E+00	1.505192E+00
19	1.369500	3.468342E+00	8.933905E-01
20	1.481500	4.204777E+00	1.155971E+00
21	1.593500	5.335239E+00	1.606357E+00
22	1.705500	5.033425E+00	1.307043E+00
23	1.817500	4.463370E+00	1.196372E+00
24	1.929500	4.012590E+00	1.755838E+00
25	2.041500	4.932483E+00	1.846712E+00
26	2.153500	6.867136E+00	2.214382E+00
27	2.265500	6.741756E+00	2.990544E+00
28	2.377500	8.534318E+00	2.953644E+00
29	2.489500	1.027418E+01	3.615934E+00
30	2.601500	1.196006E+01	3.771323E+00
31	2.713500	2.208982E+01	7.320917E+00
32	2.825500	3.252062E+01	1.133415E+01
33	2.937500	4.266682E+01	1.581186E+01
34	3.049500	4.338348E+01	1.420349E+01
35	3.161500	5.113591E+01	1.753264E+01
36	3.273500	4.654990E+01	1.419062E+01
37	3.385500	3.060589E+01	1.923563E+01
