# Eg [keV]     gsf[1/MeV^3]   sigma_gsf[1/MeV^3]
2002.5     7.35157e-09     7.13963e-09
2031.66     5.69251e-09     5.57218e-09
2057.41     5.66816e-09     5.53968e-09
2060.24     6.62154e-09     6.46376e-09
2064.91     6.20774e-09     6.07124e-09
2077.91     5.60656e-09     5.46764e-09
2078.63     6.56338e-09     6.4146e-09
2100.51     6.36098e-09     6.22496e-09
2116.68     7.02493e-09     6.8539e-09
2122.79     6.31117e-09     6.18372e-09
2127.14     5.82712e-09     5.68391e-09
2132.79     6.86619e-09     6.71375e-09
2136.24     6.65502e-09     6.49521e-09
2144.45     7.03996e-09     6.87935e-09
2145.7     5.89399e-09     5.74234e-09
2147.72     6.04124e-09     5.91172e-09
2165.26     7.77402e-09     7.5775e-09
2185.64     7.13408e-09     6.97437e-09
2203.92     6.24112e-09     6.10892e-09
2204.85     7.67693e-09     7.48051e-09
2205.15     6.64641e-09     6.51651e-09
2209.53     7.7858e-09     7.60328e-09
2226.82     7.5228e-09     7.33113e-09
2243.59     6.93497e-09     6.80602e-09
2244.44     5.29835e-09     5.18098e-09
2251.52     6.69135e-09     6.56e-09
2302.22     5.67823e-09     5.56337e-09
2306.06     5.78302e-09     5.66196e-09
2307.2     6.59973e-09     6.40223e-09
2308.41     7.34679e-09     7.21372e-09
2333.4     7.38152e-09     7.19747e-09
2345.59     6.57885e-09     6.38094e-09
2349.26     5.85123e-09     5.6548e-09
2366.08     6.72935e-09     6.53491e-09
2369.97     7.22034e-09     7.1012e-09
2371.84     6.63213e-09     6.50035e-09
2380.52     6.73611e-09     6.61468e-09
2383.08     6.73739e-09     6.61165e-09
2433.75     5.58023e-09     5.38928e-09
2439.94     6.3088e-09     6.20354e-09
2461.23     6.10541e-09     6.0007e-09
2468.28     6.16217e-09     6.05251e-09
2471.12     5.58277e-09     5.37161e-09
2492.52     5.32166e-09     5.23441e-09
2524.11     5.28663e-09     5.19654e-09
2527.88     5.07712e-09     4.91365e-09
2535.78     5.74744e-09     5.63921e-09
2545.79     5.21832e-09     5.13187e-09
2546.46     5.01754e-09     4.92851e-09
2552     5.43049e-09     5.33017e-09
2577.96     5.21138e-09     5.05744e-09
2586.96     5.06372e-09     4.97526e-09
2591.81     4.98615e-09     4.84657e-09
2600.69     5.33249e-09     5.14164e-09
2623.58     5.13416e-09     5.02951e-09
2625.41     5.08351e-09     4.98886e-09
2643.01     5.12454e-09     5.02472e-09
2669.09     5.17835e-09     5.08424e-09
2675.18     5.07108e-09     4.91696e-09
2683.36     4.99996e-09     4.89263e-09
2703.74     4.95523e-09     4.80876e-09
2705.96     4.81581e-09     4.71386e-09
2706.46     5.26135e-09     5.08651e-09
2708.13     4.83386e-09     4.68202e-09
2709.49     5.17811e-09     5.07828e-09
2710.7     4.95854e-09     4.81723e-09
2711.93     4.9535e-09     4.80963e-09
2719.72     5.21714e-09     5.11334e-09
2744.87     5.0546e-09     4.93817e-09
2765.4     5.26819e-09     5.16436e-09
2787.08     4.88728e-09     4.72902e-09
2788.77     5.02721e-09     4.87249e-09
2797.4     4.81562e-09     4.7025e-09
2799.64     5.27813e-09     5.16643e-09
2808.33     4.91804e-09     4.76867e-09
2813.1     4.91005e-09     4.76411e-09
2826.27     4.62829e-09     4.51899e-09
2835.9     4.60239e-09     4.4532e-09
2835.98     4.52483e-09     4.3714e-09
2847.19     4.57498e-09     4.4222e-09
2882     5.46248e-09     5.27051e-09
2891.38     4.91487e-09     4.76099e-09
2896.04     4.79087e-09     4.63224e-09
2902.26     5.05893e-09     4.88451e-09
2903.32     4.8535e-09     4.70457e-09
2919.94     4.2884e-09     4.16926e-09
2943.27     5.16119e-09     4.98942e-09
